feature,importance
num__delivery_delay_days,0.2270845595212781
num__order_value,0.1804156068523606
num__freight_value,0.1678650253035643
num__delivery_days,0.16699444434495092
num__payment_installments,0.054157519015389045
cat__payment_type_credit_card,0.007680124143856479
cat__payment_type_boleto,0.007548996078342622
cat__customer_state_MG,0.007245836040997205
cat__customer_state_SP,0.0069621524581532385
cat__customer_state_RJ,0.006082051682551922
cat__product_category_name_english_housewares,0.005882718891878712
cat__product_category_name_english_sports_leisure,0.005852622385708364
cat__customer_state_RS,0.005455771857826974
cat__customer_state_PR,0.005209989282664796
cat__product_category_name_english_watches_gifts,0.005183898821462694
cat__product_category_name_english_bed_bath_table,0.004929039003508721
cat__product_category_name_english_computers_accessories,0.004734486815929005
cat__product_category_name_english_furniture_decor,0.004724602942856219
cat__product_category_name_english_garden_tools,0.0046935788655159735
cat__product_category_name_english_health_beauty,0.004669135826983276
cat__payment_type_voucher,0.004600524037309053
cat__customer_state_SC,0.004532952346665174
cat__product_category_name_english_auto,0.004503927489387868
cat__product_category_name_english_telephony,0.004361164328430562
cat__product_category_name_english_baby,0.004015018617615894
cat__customer_state_BA,0.0037681072124367996
cat__product_category_name_english_perfumery,0.0037594185599586975
cat__product_category_name_english_toys,0.0035083688779993308
cat__product_category_name_english_cool_stuff,0.003427385435564709
cat__customer_state_GO,0.0033806195210974205
cat__product_category_name_english_electronics,0.0032935380229530925
cat__customer_state_DF,0.0032402064355723952
cat__customer_state_ES,0.0031594578776389724
cat__product_category_name_english_stationery,0.0028016686632994343
cat__product_category_name_english_pet_shop,0.0025837113803123535
cat__customer_state_PE,0.0024876269625808737
cat__product_category_name_english_unknown,0.0023504075598947943
cat__product_category_name_english_office_furniture,0.0023202871943575542
cat__customer_state_CE,0.0022978068586860553
cat__customer_state_MT,0.0021735341757217865
cat__product_category_name_english_fashion_bags_accessories,0.0021672526372865345
cat__payment_type_debit_card,0.0020554876290337074
cat__product_category_name_english_consoles_games,0.0019420089960666403
cat__product_category_name_english_construction_tools_construction,0.0019155077173516966
cat__customer_state_PA,0.001799371106375464
cat__customer_state_MS,0.0017816339052962073
cat__customer_state_MA,0.0015510055674850367
cat__product_category_name_english_luggage_accessories,0.0014219718090381886
cat__product_category_name_english_home_construction,0.0014132024459928727
cat__product_category_name_english_small_appliances,0.0013666657670790405
cat__customer_state_PB,0.0012900811527200287
cat__product_category_name_english_musical_instruments,0.0012666892730859847
cat__product_category_name_english_furniture_living_room,0.0012583519447720794
cat__product_category_name_english_home_appliances,0.0012443398997078405
cat__customer_state_PI,0.0012299528937634576
cat__product_category_name_english_home_confort,0.0011485490469860932
cat__product_category_name_english_audio,0.0010521154503899662
cat__customer_state_AL,0.0009968916081881008
cat__customer_state_RN,0.0009673046407724803
cat__product_category_name_english_food,0.0009638846038627506
cat__customer_state_SE,0.0009570697539752621
cat__product_category_name_english_market_place,0.0009541673315138898
cat__product_category_name_english_fixed_telephony,0.0009383713065968872
cat__product_category_name_english_construction_tools_lights,0.0008715876886944934
cat__product_category_name_english_fashion_male_clothing,0.0008382532361584148
cat__product_category_name_english_industry_commerce_and_business,0.0008316710160732017
cat__product_category_name_english_drinks,0.0008198940479463406
cat__product_category_name_english_costruction_tools_garden,0.0008042645360121198
cat__product_category_name_english_kitchen_dining_laundry_garden_furniture,0.0007645332485488897
cat__product_category_name_english_books_general_interest,0.000755374975836484
cat__product_category_name_english_air_conditioning,0.0007514208957711431
cat__product_category_name_english_signaling_and_security,0.0007009465456105122
cat__customer_state_TO,0.0006960668419934436
cat__customer_state_RO,0.0006710825610622742
cat__product_category_name_english_books_technical,0.0006341279586937661
cat__customer_state_AM,0.0006060213144910934
cat__product_category_name_english_construction_tools_safety,0.0006058285571817027
cat__product_category_name_english_art,0.0005597268056799402
cat__product_category_name_english_christmas_supplies,0.0005458495308525358
cat__product_category_name_english_fashion_shoes,0.000532684081675958
cat__product_category_name_english_agro_industry_and_commerce,0.0005301764754499378
cat__product_category_name_english_furniture_bedroom,0.0004910503167549993
cat__product_category_name_english_fashion_underwear_beach,0.0004838764573548759
cat__product_category_name_english_home_appliances_2,0.0004463516584534851
cat__product_category_name_english_food_drink,0.0004449683419800762
cat__product_category_name_english_computers,0.0003972856741730839
cat__customer_state_AC,0.00035186406267232904
cat__product_category_name_english_party_supplies,0.000350474079133359
cat__product_category_name_english_costruction_tools_tools,0.0003189165252637229
cat__product_category_name_english_tablets_printing_image,0.00031636975233186986
cat__customer_state_AP,0.00024041403987031394
cat__product_category_name_english_diapers_and_hygiene,0.00022904548353118752
cat__product_category_name_english_fashio_female_clothing,0.00020319341463640727
cat__product_category_name_english_dvds_blu_ray,0.00019867679930631233
cat__product_category_name_english_cine_photo,0.0001973015193961541
cat__product_category_name_english_furniture_mattress_and_upholstery,0.00016700944751399532
cat__product_category_name_english_books_imported,0.0001628149774869786
cat__customer_state_RR,0.0001593297588318712
cat__product_category_name_english_home_comfort_2,0.00012155589122515511
cat__product_category_name_english_small_appliances_home_oven_and_coffee,0.0001206050338340998
cat__product_category_name_english_fashion_sport,0.00011674953783525552
cat__product_category_name_english_la_cuisine,0.00010004361537751098
cat__product_category_name_english_music,9.742367514460139e-05
cat__product_category_name_english_security_and_services,6.160610141710261e-05
cat__product_category_name_english_arts_and_craftmanship,5.4035878242429444e-05
cat__product_category_name_english_flowers,1.703161972272241e-05
cat__product_category_name_english_fashion_childrens_clothes,7.722555749290763e-06
cat__product_category_name_english_cds_dvds_musicals,5.005284426520383e-06
