customer_state,orders,avg_delivery_days,avg_delay_days,late_rate,avg_review
AL,413,24.12808988764045,-8.006741573033707,0.22629310344827586,3.6918103448275863
MA,747,21.19198055893074,-9.351154313487243,0.18691588785046728,3.6448598130841123
SE,350,20.8860103626943,-9.468911917098445,0.1513647642679901,3.7766749379652604
PI,495,18.89350180505415,-10.851985559566787,0.14583333333333334,3.8090277777777777
CE,1336,20.34441489361702,-10.694148936170214,0.13993610223642172,3.7833865814696486
BA,3380,18.7346835443038,-10.403291139240507,0.12417501833292593,3.756049865558543
RJ,12852,14.774956568221302,-11.414005078177201,0.11928083515917,3.749387807707179
PA,975,23.268003646308113,-13.655423883318141,0.11691762621789194,3.7156775907883084
ES,2033,15.2351164797239,-9.996980155306298,0.11483050847457626,3.920762711864407
TO,280,16.664670658682635,-11.97305389221557,0.10882352941176471,4.126470588235295
