customer_state,orders,avg_delivery_days,avg_delay_days,late_rate,avg_review
AL,413,24.12808988764045,-8.006741573033707,0.22629310344827586,3.6918103448275863
MA,747,21.19198055893074,-9.351154313487243,0.18691588785046728,3.6448598130841123
SE,350,20.8860103626943,-9.468911917098445,0.1513647642679901,3.7766749379652604
PI,495,18.89350180505415,-10.851985559566787,0.14583333333333334,3.8090277777777777
CE,1336,20.34441489361702,-10.694148936170214,0.13993610223642172,3.7833865814696486
BA,3380,18.7346835443038,-10.403291139240507,0.12417501833292593,3.756049865558543
RJ,12852,14.774956568221302,-11.414005078177201,0.11928083515917,3.749387807707179
PA,975,23.268003646308113,-13.655423883318141,0.11691762621789194,3.7156775907883084
ES,2033,15.2351164797239,-9.996980155306298,0.11483050847457626,3.920762711864407
TO,280,16.664670658682635,-11.97305389221557,0.10882352941176471,4.126470588235295
PB,536,20.107371794871796,-12.467948717948717,0.10869565217391304,3.9239130434782608
RN,485,19.184724689165186,-13.106571936056838,0.10801393728222997,4.006968641114983
MS,715,15.057783018867925,-10.607311320754716,0.09860788863109049,4.045243619489559
RR,46,27.82608695652174,-17.67391304347826,0.09615384615384616,3.576923076923077
PE,1652,17.765217391304347,-12.967391304347826,0.0944386149003148,3.905561385099685
SC,3637,14.513443396226416,-11.015094339622642,0.08791714614499424,3.9558112773302647
GO,2020,14.903966597077245,-11.706471816283925,0.06731549067315491,3.9160583941605838
DF,2140,12.5014303228443,-11.56559051900286,0.0663751987281399,3.9562798092209857
RS,5466,14.703888024883359,-13.639346811819596,0.061615700593336376,4.01186672752168
MT,907,17.52218114602588,-13.813308687615526,0.05918727915194346,3.8524734982332154
SP,41746,8.274159513224479,-10.63799143635656,0.049716502536556254,4.080572963294539
MG,11635,11.49996295473068,-12.780766096169518,0.04848397134380201,4.037629350893697
PR,5045,11.523074312860537,-12.875636240244317,0.043190468310441835,4.067516134370345
RO,253,19.234875444839858,-19.359430604982208,0.03767123287671233,3.9657534246575343
AP,68,27.662650602409638,-18.120481927710845,0.03571428571428571,4.190476190476191
AM,148,26.064705882352943,-19.21764705882353,0.03468208092485549,4.023121387283237
AC,81,20.170212765957448,-20.54255319148936,0.031578947368421054,4.094736842105263
