customer_state,revenue,orders,customers
SP,6234533.82,41746,40302
RJ,2247128.32,12852,12384
MG,1928571.09,11635,11259
RS,934286.75,5466,5277
PR,832059.4,5045,4882
BA,650220.38,3380,3277
SC,632514.14,3637,3534
GO,368997.61,2020,1952
DF,367750.15,2140,2075
ES,336438.54,2033,1964
PE,334467.37,1652,1609
CE,290599.59,1336,1313
PA,224924.18,975,949
MT,203768.97,907,876
MA,155510.26,747,726
PB,151482.79,536,519
MS,141346.92,715,694
RN,114747.31,485,474
PI,114729.56,495,482
AL,99781.7,413,401
SE,75495.89,350,342
TO,69702.51,280,273
RO,58681.5,253,240
AM,28549.04,148,143
AC,20861.5,81,77
AP,16517.39,68,67
RR,10064.62,46,45
